ID,name,dateOfBirth,placeOfBirth,dateOfDeath,placeOfDeath
101,Emily Brontë,1818-07-30,"Thornton, Yorkshire",1848-12-19,"Haworth, Yorkshire"
107,Charlotte Brontë,1818-04-21,"Thornton, Yorkshire",1855-03-31,"Haworth, Yorkshire"
150,Edgar Allen Poe,1809-01-19,"Boston, Massachusetts",1849-10-07,"Baltimore, Maryland"
170,Richard Carpenter,1929-08-14,"King’s Lynn, Norfolk",2012-02-26,"Hertfordshire, England"
180,Fabian Tschirschnitz,1987-09-02,"Rostock",,
200,Stephen King,1947-09-21,"Portland, Maine",, 
201,J.R.R. Tolkien,1892-01-03,"Bloemfontein, South Africa",1973-09-02,"Bournemouth, England"
202,Michael Ende,1929-11-12,"Garmisch-Partenkirchen, Germany",1995-08-28,"Stuttgart, Germany"
203,George Orwell,1903-06-25,"Motihari, India",1950-01-21,"London, England"
204,J.K. Rowling,1965-07-31,"Yate, England",,
205,Frank Herbert,1920-10-08,"Tacoma, Washington",1986-02-11,"Madison, Wisconsin"
206,Vladimir Nabokov,1899-04-22,"Saint Petersburg, Russia",1977-07-02,"Montreux, Switzerland"
207,Clive Barker,1952-10-05,"Liverpool, England",,
208,Dan Simmons,1948-04-04,"Peoria, Illinois",,
